Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag251,0,0,0,5,5,5,5,5,5,5,5,5,10,10,10,10,13,13,13,13
ag253,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,15,15,15
ag254,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,12,12,12,12
ag255,5,5,5,5,5,5,5,5,5,5,5,5,15,15,18,18,18,18,23.5,23.5
ag256,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,13,13,13,16.5
ag257,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag258,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag259,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag260,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag261,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag262,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag263,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag264,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag267,5,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,14,14,14,14
ag268,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag269,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag270,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag271,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag272,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag273,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag274,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,13.5,13.5
ag276,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,13.5,13.5,13.5
ag277,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag278,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag279,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14.5,14.5
ag280,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16.5,16.5
ag281,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag282,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag283,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag284,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag285,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag286,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag287,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag288,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag289,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,12,12,12
ag290,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag291,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag292,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag293,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,16.5,16.5,16.5,16.5
ag294,5,5,5,5,5,5,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,14.5,14.5,14.5
ag295,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag296,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag297,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag298,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag299,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15.5,15.5,18
